"user_id","birthdate","gender","married","has_children","home_city","home_airport","sign_up_date","avg_lead_time","avg_bags","avg_hotel_spend","discount_sensitivity","avg_discount_value","bundling_ratio","true_cancellation_rate","avg_page_clicks","avg_base_fare","avg_nights_stayed","last_active_date"
"23557","1958-12-08","F","true","false","new york","LGA","2021-07-22","12.8158333333333333","","177.0000000000000000","0.50000000000000000000","0.12500000000000000000","","0","9.5000000000000000","","10.0000000000000000","2023-07-14 12:36:00"
"94883","1972-03-16","F","true","false","kansas city","MCI","2022-02-07","7.1517592592592593","0.50000000000000000000","90.0000000000000000","0.00000000000000000000","0.00000000000000000000","1","0","24.0000000000000000","432.0450000000000000","0.50000000000000000000","2023-04-10 21:13:00"
"101486","1972-12-07","F","true","true","tacoma","TCM","2022-02-17","7.8377604166666667","0.00000000000000000000","198.5000000000000000","0.00000000000000000000","0.00000000000000000000","2","0","21.0000000000000000","189.9100000000000000","4.0000000000000000","2023-06-17 19:42:00"
"101961","1980-09-14","F","true","false","boston","BOS","2022-02-17","6.2573703703703704","0.40000000000000000000","136.0000000000000000","0.20000000000000000000","0.02000000000000000000","1","0","20.8000000000000000","248.5320000000000000","3.8000000000000000","2023-06-22 13:27:00"
"106907","1978-11-17","F","true","true","miami","TNT","2022-02-24","198.6913060154571759","5.0000000000000000","129.0000000000000000","0.50000000000000000000","0.00000000000000000000","1","1","52.0000000000000000","13902.0600000000000000","11.0000000000000000","2023-07-27 09:43:48"
"118043","1972-05-04","F","false","true","los angeles","LAX","2022-03-10","8.5191481481481481","1.00000000000000000000","227.2500000000000000","0.60000000000000000000","0.11000000000000000000","1.3333333333333333","0","27.4000000000000000","779.7633333333333333","5.5000000000000000","2023-07-15 02:05:00"
"120851","1972-09-25","F","true","true","santa ana","SNA","2022-03-13","7.5012847222222222","0.00000000000000000000","182.0000000000000000","0.00000000000000000000","0.00000000000000000000","1","0","17.0000000000000000","384.6800000000000000","11.0000000000000000","2023-04-07 18:56:00"
"125845","1983-12-01","F","true","false","el paso","BIF","2022-03-19","9.0865933641975309","0.66666666666666666667","123.6666666666666667","0.33333333333333333333","0.05000000000000000000","1","0","34.6666666666666667","584.4400000000000000","1.6666666666666667","2023-06-05 19:55:00"
"133058","2005-04-07","F","false","false","austin","AUS","2022-03-27","6.4935300925925926","0.00000000000000000000","","0.00000000000000000000","0.00000000000000000000","0","0","19.0000000000000000","423.5100000000000000","","2023-03-27 02:07:00"
"149058","1973-01-22","F","false","true","birmingham","BHM","2022-04-14","6.5057546296296296","0.40000000000000000000","168.6000000000000000","0.20000000000000000000","0.01000000000000000000","1","0","25.2000000000000000","385.7320000000000000","5.0000000000000000","2023-04-16 11:45:00"
"152583","1986-07-26","F","false","false","colorado springs","COS","2022-04-17","8.6822337962962963","2.0000000000000000","213.0000000000000000","0.00000000000000000000","0.00000000000000000000","1","0","29.0000000000000000","367.8300000000000000","2.0000000000000000","2023-06-05 21:34:00"
"153982","1978-08-15","F","false","true","toronto","YKZ","2022-04-19","9.1244598765432099","0.33333333333333333333","207.0000000000000000","0.00000000000000000000","0.00000000000000000000","1","0","36.0000000000000000","218.9566666666666667","1.3333333333333333","2023-07-20 20:37:00"
"160754","1977-12-06","F","true","true","new york","LGA","2022-04-26","11.7494907407407407","1.00000000000000000000","214.0000000000000000","0.00000000000000000000","0.00000000000000000000","1","0","22.0000000000000000","93.6200000000000000","2.0000000000000000","2023-06-26 19:58:00"
"164522","1975-11-07","F","true","false","kansas city","MCI","2022-04-30","8.8563078703703704","1.00000000000000000000","233.0000000000000000","1.00000000000000000000","0.05000000000000000000","1","0","23.0000000000000000","328.3200000000000000","13.0000000000000000","2023-02-08 18:24:00"
"171470","1999-09-14","F","false","false","atlanta","ATL","2022-05-06","181.3218672839506173","0.33333333333333333333","","1.00000000000000000000","0.03333333333333333333","0","1","136.3333333333333333","3679.3566666666666667","","2023-07-10 02:46:09"
"174997","1991-11-01","F","false","false","grand rapids","GRR","2022-05-10","9.6233063271604938","0.33333333333333333333","112.0000000000000000","0.33333333333333333333","0.00000000000000000000","0.6666666666666666","0.3333333333333333","66.0000000000000000","1075.4966666666666667","2.0000000000000000","2023-03-08 09:03:00"
"175032","1994-11-05","F","false","false","houston","IAH","2022-05-10","7.4441666666666666","0.50000000000000000000","139.0000000000000000","0.33333333333333333333","0.05000000000000000000","1.5","0","30.0000000000000000","554.6250000000000000","4.3333333333333333","2023-07-20 21:09:00"
"181157","1970-08-10","F","true","false","houston","HOU","2022-05-15","5.9389621913580247","1.00000000000000000000","162.3333333333333333","0.66666666666666666667","0.10000000000000000000","1","0","32.0000000000000000","346.4766666666666667","3.3333333333333333","2023-03-28 01:20:00"
"182191","2004-09-27","F","false","true","phoenix","PHX","2022-05-16","18.6340937065740741","1.00000000000000000000","","1.00000000000000000000","0.00000000000000000000","0","1","80.0000000000000000","537.6700000000000000","","2023-01-05 14:26:34"
"187212","1969-02-20","F","true","true","los angeles","LAX","2022-05-21","8.6829861111111111","0.66666666666666666667","217.3333333333333333","0.00000000000000000000","0.00000000000000000000","1","0","22.6666666666666667","414.1900000000000000","2.0000000000000000","2023-02-28 14:57:00"
"189676","1988-01-10","F","false","true","fort worth","FTW","2022-05-23","4.2692013888888889","2.0000000000000000","180.5000000000000000","0.00000000000000000000","0.00000000000000000000","2","0","19.0000000000000000","1244.3100000000000000","9.0000000000000000","2023-05-03 19:49:00"
"190866","1986-09-24","F","false","false","tallahassee","TLH","2022-05-24","7.7427523148148148","0.40000000000000000000","169.2000000000000000","0.00000000000000000000","0.00000000000000000000","1","0","27.6000000000000000","416.2000000000000000","1.8000000000000000","2023-07-03 11:02:00"
"195192","1995-09-20","F","false","false","chicago","MDW","2022-05-28","15.4672106481481481","0.00000000000000000000","160.0000000000000000","0.00000000000000000000","0.00000000000000000000","1","0","18.0000000000000000","394.2900000000000000","1.00000000000000000000","2023-04-15 19:45:00"
"204943","1982-12-20","M","false","false","ottawa","YOW","2022-06-06","56.3832440476190476","1.2857142857142857","191.5714285714285714","0.28571428571428571429","0.01428571428571428571","1","0.16666666666666666","41.2857142857142857","475.9657142857142857","6.8571428571428571","2023-07-28 12:51:08"
"204997","1985-08-26","F","true","false","kansas city","MCI","2022-06-06","14.8177976305509259","0.60000000000000000000","152.2500000000000000","0.60000000000000000000","0.07000000000000000000","0.8","0.5","81.0000000000000000","991.1260000000000000","4.5000000000000000","2023-07-10 17:00:00"
"205044","1983-08-25","F","true","true","toronto","YKZ","2022-06-06","6.6577700617283951","0.33333333333333333333","249.3333333333333333","0.33333333333333333333","0.01666666666666666667","1","0","28.3333333333333333","916.1166666666666667","4.6666666666666667","2023-05-05 16:34:00"
"206011","1984-08-04","F","false","true","kansas city","MCI","2022-06-07","6.2018836805555556","0.25000000000000000000","113.3333333333333333","0.50000000000000000000","0.05000000000000000000","0.75","0","24.5000000000000000","261.6475000000000000","2.6666666666666667","2023-05-03 19:49:00"
"216796","2001-07-09","F","false","false","cincinnati","CVG","2022-06-16","194.6201931276851852","2.0000000000000000","241.0000000000000000","1.00000000000000000000","0.12500000000000000000","1","1","38.0000000000000000","2500.8700000000000000","10.0000000000000000","2023-03-13 03:38:26"
"217136","1985-04-18","F","false","true","little rock","LIT","2022-06-17","6.1751388888888889","0.00000000000000000000","236.5000000000000000","0.00000000000000000000","0.00000000000000000000","2","0","26.5000000000000000","539.5700000000000000","2.0000000000000000","2023-03-25 22:07:00"
"220725","1983-07-28","F","false","false","stockton","SCK","2022-06-20","5.4841504629629630","0.20000000000000000000","125.0000000000000000","0.40000000000000000000","0.01000000000000000000","0.8","0.25","58.6000000000000000","484.5840000000000000","3.7500000000000000","2023-06-07 21:27:00"
"224996","1981-03-07","F","false","true","halifax","YHZ","2022-06-23","8.8023379629629630","0.00000000000000000000","231.0000000000000000","0.00000000000000000000","0.00000000000000000000","0.5","0","17.5000000000000000","448.8050000000000000","0.00000000000000000000","2023-05-11 21:45:00"
"226367","1980-10-21","F","false","false","washington","IAD","2022-06-25","7.4309529320987654","0.66666666666666666667","253.0000000000000000","0.33333333333333333333","0.01666666666666666667","1","0","22.3333333333333333","296.4033333333333333","1.6666666666666667","2023-06-26 22:55:00"
"228872","1989-03-22","M","false","false","san antonio","RND","2022-06-27","6.2814814814814815","1.00000000000000000000","94.0000000000000000","0.00000000000000000000","0.00000000000000000000","2","0","29.0000000000000000","509.2100000000000000","6.5000000000000000","2023-07-16 06:05:00"
"229009","2006-08-27","F","false","false","stockton","SCK","2022-06-27","165.4760321659895833","0.25000000000000000000","149.5000000000000000","0.25000000000000000000","0.00000000000000000000","0.5","0.3333333333333333","21.2500000000000000","1127.2225000000000000","1.5000000000000000","2023-07-08 16:23:05"
"229108","1998-05-28","F","false","false","burlington","BTV","2022-06-27","148.7826620370370371","0.00000000000000000000","","0.50000000000000000000","0.00000000000000000000","0","1","108.0000000000000000","438.6100000000000000","","2023-05-08 16:12:58"
"229330","1976-11-08","F","true","false","colorado springs","COS","2022-06-27","7.9345486111111111","0.25000000000000000000","209.2500000000000000","0.00000000000000000000","0.00000000000000000000","1","0","22.2500000000000000","387.0275000000000000","1.5000000000000000","2023-07-17 18:34:00"
"232647","2006-04-11","F","false","false","birmingham","BHM","2022-06-30","4.8954976851851852","1.00000000000000000000","213.0000000000000000","0.00000000000000000000","0.00000000000000000000","1","0","16.0000000000000000","237.1000000000000000","11.0000000000000000","2023-02-23 21:29:00"
"249521","1964-07-23","F","true","true","ottawa","YOW","2022-07-15","7.7409780092592593","1.00000000000000000000","141.5000000000000000","0.50000000000000000000","0.05000000000000000000","2","0","20.0000000000000000","642.0200000000000000","1.5000000000000000","2023-07-04 19:01:00"
